country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety
Hungary,Budapest,1.73,1.73,152.41,1364,1.0,52.7,0.4,0.6,0.6,31,0.86,1.0,1.0,1.0,0.4,0.6
Thailand,Chiang Mai,0.85,0.85,98.88,777,0.8,78.8,0.6,0.2,0.6,14,0.75,0.4,0.95,0.8,0.4,0.8
Czechia,Prague,1.99,1.99,159.13,1639,1.0,40.8,0.6,0.8,0.8,15,0.83,1.0,0.94,1.0,0.42,0.8
Taiwan,Taipei,1.88,1.88,47.01,1545,1.0,74.6,1.0,0.6,0.8,16,0.93,0.6,0.94,1.0,0.0,1.0
United States,Austin,5.0,5.0,200.0,3028,0.8,34.0,0.6,0.6,0.8,118,0.95,1.0,0.94,1.0,0.8,0.73
United States,Austin,5.0,5.0,200.0,3028,0.8,34.0,0.6,0.6,0.8,118,0.95,1.0,0.94,1.0,0.8,0.73
United States,Miami,4.0,4.0,250.0,3238,0.8,34.0,1.0,0.6,0.8,81,1.0,1.0,0.92,1.0,0.8,0.73
United States,Miami,4.0,4.0,250.0,3238,0.8,34.0,1.0,0.6,0.8,81,1.0,1.0,0.92,1.0,0.8,0.73
Spain,Madrid,5.38,5.38,161.3,2554,0.8,39.8,0.6,0.8,0.8,18,0.88,0.8,0.9,1.0,0.6,0.8
Colombia,Madrid,5.38,5.38,161.3,2554,0.8,39.8,0.6,0.8,0.8,18,0.88,0.8,0.9,1.0,0.6,0.8
Philippines,Madrid,5.38,5.38,161.3,2554,0.8,39.8,0.6,0.8,0.8,18,0.88,0.8,0.9,1.0,0.6,0.8
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8
Australia,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8
United States,San Diego,5.0,5.0,490.0,3427,0.8,34.0,1.0,0.6,1.0,55,0.92,1.0,0.89,1.0,0.8,0.6
Venezuela,San Diego,5.0,5.0,490.0,3427,0.8,34.0,1.0,0.6,1.0,55,0.92,1.0,0.89,1.0,0.8,0.6
Colombia,San Diego,5.0,5.0,490.0,3427,0.8,34.0,1.0,0.6,1.0,55,0.92,1.0,0.89,1.0,0.8,0.6
Spain,Las Palmas,4.03,4.03,96.78,2245,0.8,39.8,0.24,0.8,0.8,24,0.85,0.8,0.88,0.8,1.0,0.8
United States,Atlanta,3.5,3.5,300.0,2956,0.8,34.0,0.6,0.6,0.8,99,0.87,0.6,0.88,1.0,0.8,0.4
Portugal,Porto,2.69,2.69,107.53,1681,0.76,29.2,0.62,0.8,0.83,21,0.84,0.8,0.88,1.0,1.0,0.8
Brazil,Porto,2.69,2.69,107.53,1681,0.76,29.2,0.62,0.8,0.83,21,0.84,0.8,0.88,1.0,1.0,0.8
Belgium,Brussels,4.3,4.3,279.58,2528,1.0,29.0,0.76,0.8,0.4,38,0.87,0.6,0.87,1.0,0.4,0.6
New Zealand,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8
United Kingdom,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8
United Kingdom,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8
United States,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8
India,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8
United States,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8
Sweden,Stockholm,4.1,4.1,492.03,3202,1.0,22.6,0.4,0.8,0.82,19,0.89,0.8,0.87,1.0,0.8,1.0
United States,Minneapolis,4.0,4.0,400.0,3193,0.8,34.0,0.6,0.6,1.0,17,0.89,0.44,0.86,1.0,0.8,0.6
Indonesia,Ubud,1.12,1.12,274.27,1331,0.64,74.9,0.6,0.2,0.8,5,0.76,0.6,0.86,0.8,0.8,0.8
United States,Oakland,5.0,5.0,250.0,3400,0.8,34.0,0.8,0.6,0.6,20,0.87,0.8,0.86,1.0,0.8,0.38
United States,Oakland,5.0,5.0,250.0,3400,0.8,34.0,0.8,0.6,0.6,20,0.87,0.8,0.86,1.0,0.8,0.38
United States,Oakland,5.0,5.0,250.0,3400,0.8,34.0,0.8,0.6,0.6,20,0.87,0.8,0.86,1.0,0.8,0.38
United States,Houston,6.0,6.0,199.0,3164,0.0,34.0,0.6,0.6,0.64,15,0.83,0.8,0.85,1.0,0.82,0.4
United States,Las Vegas,5.0,5.0,175.0,2552,0.8,34.0,0.98,0.6,1.0,55,0.94,1.0,0.85,0.8,0.8,0.8
United States,Las Vegas,5.0,5.0,175.0,2552,0.8,34.0,0.98,0.6,1.0,55,0.94,1.0,0.85,0.8,0.8,0.8
United States,Denver,4.0,4.0,450.0,3602,0.8,34.0,0.6,0.6,0.8,101,0.88,0.6,0.85,1.0,0.8,0.8
Thailand,Phuket,1.41,1.41,155.43,1012,0.6,78.8,0.4,0.2,0.6,14,0.75,0.82,0.85,0.8,0.42,0.8
Argentina,Buenos Aires,2.69,2.69,153.85,2393,0.6,48.4,0.62,0.6,0.82,6,0.81,1.0,0.84,1.0,0.78,0.6
Colombia,Buenos Aires,2.69,2.69,153.85,2393,0.6,48.4,0.62,0.6,0.82,6,0.81,1.0,0.84,1.0,0.78,0.6
Costa Rica,Buenos Aires,2.69,2.69,153.85,2393,0.6,48.4,0.62,0.6,0.82,6,0.81,1.0,0.84,1.0,0.78,0.6
Brazil,Buenos Aires,2.69,2.69,153.85,2393,0.6,48.4,0.62,0.6,0.82,6,0.81,1.0,0.84,1.0,0.78,0.6
Thailand,Bangkok,2.12,2.12,131.41,1197,0.8,78.8,1.0,0.2,1.0,24,0.72,1.0,0.84,1.0,0.42,0.77
United States,Seattle,5.0,5.0,345.0,4370,0.8,34.0,1.0,0.6,0.8,17,0.91,0.8,0.84,1.0,0.8,0.8
Thailand,Ko Samui,1.41,1.41,169.56,1352,0.8,78.8,0.4,0.2,1.0,15,0.8,0.8,0.84,0.8,0.4,0.8
New Zealand,Christchurch,3.55,3.55,319.73,2172,0.0,21.3,0.6,0.8,1.0,32,0.88,0.6,0.84,0.8,1.0,1.0
United Kingdom,Christchurch,3.55,3.55,319.73,2172,0.0,21.3,0.6,0.8,1.0,32,0.88,0.6,0.84,0.8,1.0,1.0
Germany,Berlin,4.3,4.3,172.05,2236,1.0,28.6,1.0,0.8,1.0,40,0.88,1.0,0.84,0.8,1.0,1.0
United States,Berlin,4.3,4.3,172.05,2236,1.0,28.6,1.0,0.8,1.0,40,0.88,1.0,0.84,0.8,1.0,1.0
United States,Berlin,4.3,4.3,172.05,2236,1.0,28.6,1.0,0.8,1.0,40,0.88,1.0,0.84,0.8,1.0,1.0
United States,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8
Philippines,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8
Paraguay,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8
Costa Rica,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8
