country,city,coffee_in_cafe,cost_beer,cost_coworking,cost_nomad,female_friendly,fragile_states_index,free_wifi_available,freedom_score,friendly_to_foreigners,internet_speed,life_score,nightlife,nomad_score,places_to_work,racism,safety,marine_species
Thailand,Chiang Mai,0.85,0.85,98.88,777,0.8,78.8,0.6,0.2,0.6,14,0.75,0.4,0.95,0.8,0.4,0.8,7
Thailand,Phuket,1.41,1.41,155.43,1012,0.6,78.8,0.4,0.2,0.6,14,0.75,0.82,0.85,0.8,0.42,0.8,7
Thailand,Bangkok,2.12,2.12,131.41,1197,0.8,78.8,1.0,0.2,1.0,24,0.72,1.0,0.84,1.0,0.42,0.77,7
Thailand,Ko Samui,1.41,1.41,169.56,1352,0.8,78.8,0.4,0.2,1.0,15,0.8,0.8,0.84,0.8,0.4,0.8,7
Thailand,Chiang Rai,1.41,1.41,195.38,1134,0.6,78.8,0.6,0.2,1.0,12,0.76,0.8,0.74,0.6,0.6,0.6,7
Thailand,Hua Hin,1.55,1.55,172.39,1232,0.6,78.8,0.4,0.2,0.6,13,0.66,0.6,0.69,0.4,0.6,0.4,7
Taiwan,Taipei,1.88,1.88,47.01,1545,1.0,74.6,1.0,0.6,0.8,16,0.93,0.6,0.94,1.0,0.0,1.0,6
Taiwan,Taichung,1.57,1.57,219.39,1456,0.8,59.4,1.0,0.6,0.6,7,0.77,0.4,0.74,0.6,0.0,0.8,6
Taiwan,Kaohsiung,1.57,1.57,95.59,1160,1.0,76.4,1.0,0.6,1.0,9,0.82,0.6,0.72,0.4,0.0,1.0,6
Taiwan,Tainan,0.0,0.0,251.44,1398,0.8,71.8,0.8,0.6,0.6,5,0.79,0.6,0.72,0.6,0.6,0.8,6
United States,Austin,5.0,5.0,200.0,3028,0.8,34.0,0.6,0.6,0.8,118,0.95,1.0,0.94,1.0,0.8,0.73,14
United States,Austin,5.0,5.0,200.0,3028,0.8,34.0,0.6,0.6,0.8,118,0.95,1.0,0.94,1.0,0.8,0.73,14
United States,Miami,4.0,4.0,250.0,3238,0.8,34.0,1.0,0.6,0.8,81,1.0,1.0,0.92,1.0,0.8,0.73,14
United States,Miami,4.0,4.0,250.0,3238,0.8,34.0,1.0,0.6,0.8,81,1.0,1.0,0.92,1.0,0.8,0.73,14
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8,14
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8,14
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8,14
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8,14
United States,Portland,5.0,5.0,300.0,3503,0.8,34.0,0.4,0.6,1.0,23,0.95,1.0,0.9,1.0,0.8,0.8,14
United States,San Diego,5.0,5.0,490.0,3427,0.8,34.0,1.0,0.6,1.0,55,0.92,1.0,0.89,1.0,0.8,0.6,14
United States,Atlanta,3.5,3.5,300.0,2956,0.8,34.0,0.6,0.6,0.8,99,0.87,0.6,0.88,1.0,0.8,0.4,14
United States,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8,14
United States,Wellington,4.97,4.97,266.44,2408,1.0,21.3,1.0,0.8,1.0,11,0.89,0.6,0.87,1.0,1.0,0.8,14
United States,Minneapolis,4.0,4.0,400.0,3193,0.8,34.0,0.6,0.6,1.0,17,0.89,0.44,0.86,1.0,0.8,0.6,14
United States,Oakland,5.0,5.0,250.0,3400,0.8,34.0,0.8,0.6,0.6,20,0.87,0.8,0.86,1.0,0.8,0.38,14
United States,Oakland,5.0,5.0,250.0,3400,0.8,34.0,0.8,0.6,0.6,20,0.87,0.8,0.86,1.0,0.8,0.38,14
United States,Oakland,5.0,5.0,250.0,3400,0.8,34.0,0.8,0.6,0.6,20,0.87,0.8,0.86,1.0,0.8,0.38,14
United States,Houston,6.0,6.0,199.0,3164,0.0,34.0,0.6,0.6,0.64,15,0.83,0.8,0.85,1.0,0.82,0.4,14
United States,Las Vegas,5.0,5.0,175.0,2552,0.8,34.0,0.98,0.6,1.0,55,0.94,1.0,0.85,0.8,0.8,0.8,14
United States,Las Vegas,5.0,5.0,175.0,2552,0.8,34.0,0.98,0.6,1.0,55,0.94,1.0,0.85,0.8,0.8,0.8,14
United States,Denver,4.0,4.0,450.0,3602,0.8,34.0,0.6,0.6,0.8,101,0.88,0.6,0.85,1.0,0.8,0.8,14
United States,Seattle,5.0,5.0,345.0,4370,0.8,34.0,1.0,0.6,0.8,17,0.91,0.8,0.84,1.0,0.8,0.8,14
United States,Berlin,4.3,4.3,172.05,2236,1.0,28.6,1.0,0.8,1.0,40,0.88,1.0,0.84,0.8,1.0,1.0,14
United States,Berlin,4.3,4.3,172.05,2236,1.0,28.6,1.0,0.8,1.0,40,0.88,1.0,0.84,0.8,1.0,1.0,14
United States,San Antonio,5.0,5.0,50.0,2671,0.8,34.0,0.8,0.6,0.8,45,0.88,0.8,0.84,0.8,0.8,0.8,14
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8,14
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8,14
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8,14
United States,Dallas,5.0,5.0,121.0,3158,0.8,34.0,0.8,0.6,0.8,49,0.89,0.4,0.84,0.8,0.8,0.8,14
United States,Kansas City,4.5,4.5,200.0,3051,0.8,34.0,0.6,0.6,1.0,97,0.89,1.0,0.83,0.8,0.8,0.44,14
United States,Kansas City,4.5,4.5,200.0,3051,0.8,34.0,0.6,0.6,1.0,97,0.89,1.0,0.83,0.8,0.8,0.44,14
United States,Hamburg,4.3,4.3,430.13,3052,1.0,28.6,0.2,0.8,0.8,22,0.9,1.0,0.83,0.8,0.8,1.0,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Madison,5.0,5.0,45.0,2743,1.0,34.0,0.8,0.6,0.8,33,0.88,0.6,0.83,0.8,0.8,0.8,14
United States,Buffalo,5.0,5.0,100.0,2798,1.0,34.0,0.8,0.6,0.8,37,0.88,0.8,0.83,0.8,0.8,0.8,14
United States,Buffalo,5.0,5.0,100.0,2798,1.0,34.0,0.8,0.6,0.8,37,0.88,0.8,0.83,0.8,0.8,0.8,14
United States,Fort Lauderdale,5.5,5.5,300.0,3145,1.0,34.0,0.8,0.6,0.8,12,0.88,1.0,0.82,0.8,0.8,0.6,14
United States,Tampa,5.0,5.0,97.0,2823,0.6,34.0,0.8,0.6,0.8,45,0.86,0.8,0.82,0.8,0.8,0.8,14
United States,Louisville,4.0,4.0,80.0,2627,1.0,34.0,0.8,0.6,0.8,35,0.87,0.6,0.82,0.8,0.8,0.8,14
